COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M3_CNT,A15UP_M4_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶人口數,離婚人口數,喪偶人口數,資料時間
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,594,444,69,60,104Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,353,348,110,90,105Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,689,642,176,128,105Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,610,468,164,110,105Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,616,686,230,178,105Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,267,238,77,58,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,268,315,74,68,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,854,868,222,188,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,261,248,77,52,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,434,376,131,119,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,880,668,263,183,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,632,601,168,110,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,329,387,90,94,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,662,725,129,139,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,231,329,53,76,105Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,626,658,179,146,105Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,1288,1327,275,254,105Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,288,361,102,86,105Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,1072,1119,242,236,105Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,398,407,159,139,105Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,960,945,190,187,105Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,811,810,223,230,105Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,247,270,91,85,105Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,127,149,36,48,105Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,353,370,86,90,105Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,186,192,60,54,105Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,172,192,52,41,105Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,388,414,88,97,105Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,140,162,27,49,105Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,557,474,166,165,105Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,932,970,177,208,105Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,278,300,82,89,105Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,131,192,36,45,105Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,1488,1335,398,271,105Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,170,187,59,61,105Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,565,455,151,95,105Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,529,537,123,122,105Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,668,443,156,115,105Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,632,574,158,144,105Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,470,494,101,118,105Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,658,426,170,107,105Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,240,190,86,63,105Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,121,177,45,46,105Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,499,561,162,108,105Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,234,180,81,65,105Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,1076,1047,240,242,105Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,167,143,29,30,105Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,352,258,61,61,105Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,248,190,32,42,105Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,590,423,103,96,105Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,320,249,67,62,105Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,679,677,221,186,105Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,116,131,43,33,105Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,455,429,105,116,105Y
