COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,102.33,2.23,20.33,17.97,9.15,8.81,96.3,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,114.78,2.16,30.25,34.57,15.43,19.14,124,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,126.67,2.58,3.01,36,16,20,125,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,114.94,3.28,698.32,24.74,11.84,12.9,108.93,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,115.18,3.3,97.13,27.34,14.12,13.22,93.64,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,102.88,3.49,353.61,26.08,11.94,14.13,118.37,105Y12M
10014,臺東縣,10014010,臺東市,10014010-021,大同里,93.04,2.47,12650.7,41.64,16.41,25.23,153.77,105Y12M
10014,臺東縣,10014010,臺東市,10014010-024,中山里,97.23,2.75,18406.6,65.22,35.86,29.37,81.9,105Y12M
10014,臺東縣,10014010,臺東市,10014010-011,中心里,94.66,3.03,11683.02,49.75,33.3,16.45,49.42,105Y12M
10014,臺東縣,10014010,臺東市,10014010-020,中正里,101.11,2.4,7554.41,39.42,6.6,32.82,497.67,105Y12M
10014,臺東縣,10014010,臺東市,10014010-015,中華里,100.63,2.61,2409.74,36.4,14.5,21.9,150.99,105Y12M
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,111.35,2.4,9510.01,32.4,8.93,23.47,262.96,105Y12M
10014,臺東縣,10014010,臺東市,10014010-023,文化里,98.65,2.76,7285.98,74.18,57.8,16.38,28.34,105Y12M
10014,臺東縣,10014010,臺東市,10014010-014,四維里,119.21,2.47,1689.71,39.07,15.47,23.6,152.5,105Y12M
10014,臺東縣,10014010,臺東市,10014010-008,民生里,98.33,2.46,9785.22,32.74,11.19,21.55,192.67,105Y12M
10014,臺東縣,10014010,臺東市,10014010-013,民族里,93.61,3.36,8824.49,85.07,64.66,20.42,31.58,105Y12M
10014,臺東縣,10014010,臺東市,10014010-018,民權里,108.79,2.5,6919.98,34.5,13.21,21.29,161.22,105Y12M
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,103.69,3.01,1003.04,35.09,21.69,13.4,61.78,105Y12M
10014,臺東縣,10014010,臺東市,10014010-032,光明里,86.5,2.61,3877.21,41.33,28.47,12.86,45.17,105Y12M
10014,臺東縣,10014010,臺東市,10014010-022,成功里,99.36,2.31,6022.44,40.78,13.64,27.14,198.9,105Y12M
10014,臺東縣,10014010,臺東市,10014010-012,自強里,93.48,2.93,12400.87,49.79,30.83,18.96,61.51,105Y12M
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,102.02,2.58,2055.65,28.48,11.57,16.92,146.24,105Y12M
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,107.41,2.23,833.9,26.32,10.02,16.3,162.64,105Y12M
10014,臺東縣,10014010,臺東市,10014010-036,東海里,93.5,2.69,4598.3,47.13,28.51,18.62,65.31,105Y12M
