COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,DEAD_CNT,DEAD_M_CNT,DEAD_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,死亡數,死亡登記男性人口數,死亡登記女性人口數,資料時間
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,28,17,11,105Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,16,10,6,105Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,18,10,8,105Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,6,3,3,105Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,5,4,1,105Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,15,6,9,105Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,12,9,3,105Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,33,22,11,105Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,6,1,5,105Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,12,7,5,105Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,4,0,4,105Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,16,7,9,105Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,14,11,3,105Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,37,27,10,105Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,4,2,2,105Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,18,7,11,105Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,18,12,6,105Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,36,17,19,105Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,12,6,6,105Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,21,12,9,105Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,6,3,3,105Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,4,3,1,105Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,18,11,7,105Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,6,4,2,105Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,4,3,1,105Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,29,22,7,105Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,14,5,9,105Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,20,9,11,105Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,41,28,13,105Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,31,21,10,105Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,18,10,8,105Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,10,9,1,105Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,1,1,0,105Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,2,1,1,105Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,14,6,8,105Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,18,11,7,105Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,9,5,4,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,30,20,10,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,12,7,5,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,13,7,6,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,15,10,5,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,11,7,4,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,20,9,11,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,16,13,3,105Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,14,10,4,105Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,10,8,2,105Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,9,3,6,105Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,5,4,1,105Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,7,6,1,105Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,4,2,2,105Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,4,2,2,105Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,5,3,2,105Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,15,13,2,105Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,13,10,3,105Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,16,7,9,105Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,20,9,11,105Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,11,5,6,105Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,21,16,5,105Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,5,2,3,105Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,5,4,1,105Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,8,5,3,105Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,26,14,12,105Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,10,6,4,105Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,11,6,5,105Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,23,13,10,105Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,22,15,7,105Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,12,10,2,105Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,38,23,15,105Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,21,12,9,105Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,26,19,7,105Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,21,15,6,105Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,19,13,6,105Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,32,15,17,105Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,54,46,8,105Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,25,13,12,105Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,22,18,4,105Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,30,18,12,105Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,32,25,7,105Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,12,9,3,105Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,25,21,4,105Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,14,6,8,105Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,10,5,5,105Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,26,15,11,105Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,12,9,3,105Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,11,7,4,105Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,5,4,1,105Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,62,38,24,105Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,22,17,5,105Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,16,11,5,105Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,5,3,2,105Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,31,24,7,105Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,38,24,14,105Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,55,33,22,105Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,31,21,10,105Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,18,10,8,105Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,76,43,33,105Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,15,9,6,105Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,16,8,8,105Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,6,4,2,105Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,12,6,6,105Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,10,7,3,105Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,24,15,9,105Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,8,7,1,105Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,12,7,5,105Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,22,16,6,105Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,12,10,2,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,2,1,1,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,10,8,2,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,9,6,3,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,5,3,2,105Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,6,2,4,106Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,25,16,9,106Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,18,11,7,106Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,17,13,4,106Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,4,3,1,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,12,9,3,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,22,14,8,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,17,12,5,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,11,6,5,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,25,15,10,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,14,11,3,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,19,11,8,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,17,15,2,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,6,3,3,106Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,22,13,9,106Y
