COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M5_CNT,A15UP_M3_CNT,A15UP_M6_CNT,A15UP_M4_CNT,A15UP_M7_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶(不同性別)人口數,有偶(相同性別)人口數,離婚(不同性別)人口數,離婚(相同性別)人口數,喪偶(不同性別)人口數,喪偶(相同性別)人口數,資料時間
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,355,506,0,150,0,169,0,108Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,169,231,2,73,0,62,0,108Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,668,855,0,257,0,224,0,108Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,284,400,0,94,0,127,0,108Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,388,526,0,131,0,155,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,458,563,0,180,0,123,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,176,277,0,83,0,69,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,171,311,0,47,0,88,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,195,243,0,82,0,55,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,467,694,0,129,0,139,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,558,827,0,228,0,191,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,246,380,0,93,0,89,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,612,676,0,280,0,176,0,108Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,289,370,2,142,0,116,0,108Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,235,320,0,116,0,96,0,108Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,407,428,0,172,1,121,0,108Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,421,580,1,187,0,124,0,108Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,423,618,0,218,0,165,0,108Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,194,215,0,88,0,52,0,108Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,361,494,0,92,0,55,0,108Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,355,552,0,85,0,63,0,108Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,557,768,0,118,0,83,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,286,312,0,85,0,82,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,94,111,0,20,0,34,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,105,118,0,15,0,28,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,400,397,0,92,0,110,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,219,249,0,50,0,60,0,108Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,188,216,0,37,0,57,0,108Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,225,246,0,66,0,53,0,108Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,98,157,0,29,0,29,0,108Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,156,193,0,36,0,43,0,108Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,209,255,2,79,0,60,0,108Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,395,439,1,110,0,91,0,108Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,196,218,0,80,0,36,0,108Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,228,296,0,49,0,51,0,108Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,471,530,0,167,0,102,0,108Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,117,129,0,55,0,37,0,108Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,95,145,0,64,0,35,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台?村,188,267,0,86,0,70,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土?村,358,365,0,92,0,69,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,105,135,0,50,0,44,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,169,254,0,86,0,67,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,127,182,0,50,0,42,0,108Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,115,116,0,44,0,20,0,108Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,483,619,1,123,0,72,0,108Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,352,332,0,58,0,40,0,108Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,484,604,0,127,0,65,0,108Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,400,443,0,72,0,58,0,108Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,472,650,0,202,0,172,0,109Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,266,424,0,126,0,72,0,109Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,798,1059,1,260,0,149,0,109Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,1037,1238,3,329,0,240,0,109Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,1007,1476,0,201,0,213,0,109Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,997,1137,2,393,0,233,0,109Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,2382,3151,8,758,0,446,0,109Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,1070,1498,0,342,0,257,0,109Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,305,329,0,127,0,92,0,109Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,938,1205,2,248,0,216,0,109Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,1108,1547,0,280,0,218,0,109Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,1420,2076,5,369,0,279,0,109Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,482,763,2,120,0,81,0,109Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,239,251,3,100,0,59,0,109Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,631,718,1,194,0,142,0,109Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,220,282,0,77,0,58,0,109Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,414,508,0,186,0,141,0,109Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,295,405,1,85,0,59,0,109Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,268,286,0,92,0,71,0,109Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,270,383,0,76,0,76,0,109Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,268,317,1,102,0,82,0,109Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,303,304,0,117,0,78,0,109Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,348,366,0,172,0,61,0,109Y
