COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,63,32,31,487,250,237,90,40,50,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,76,42,34,513,270,243,136,69,67,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,277,161,116,1484,814,670,371,172,199,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,67,34,33,452,277,175,119,63,56,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,145,79,66,776,414,362,139,60,79,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,245,141,104,1494,796,698,255,121,134,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,165,89,76,1114,587,527,232,111,121,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,85,53,32,614,355,259,201,95,106,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,179,109,70,1170,590,580,306,140,166,105Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,52,27,25,448,270,178,189,88,101,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,160,84,76,1180,675,505,269,128,141,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,292,166,126,2351,1238,1113,501,235,266,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,53,31,22,594,330,264,190,96,94,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,322,164,158,1919,1001,918,428,223,205,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,98,38,60,761,412,349,244,104,140,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,294,155,139,1588,834,754,400,210,190,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,165,96,69,1495,832,663,414,182,232,105Y12M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,32,20,12,483,291,192,178,80,98,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,33,16,17,246,144,102,81,37,44,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,81,40,41,633,313,320,185,86,99,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,46,27,19,353,192,161,93,44,49,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,40,23,17,327,191,136,90,51,39,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,95,49,46,678,386,292,214,107,107,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,47,25,22,238,135,103,93,44,49,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,141,81,60,956,527,429,265,114,151,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,281,154,127,1577,791,786,429,172,257,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,57,33,24,531,295,236,161,71,90,105Y12M
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,36,19,17,279,164,115,89,39,50,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,350,173,177,2739,1421,1318,403,189,214,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,37,20,17,339,193,146,101,46,55,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,135,72,63,964,502,462,167,88,79,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,124,61,63,920,514,406,267,139,128,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,177,96,81,1051,551,500,154,81,73,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,174,93,81,1082,594,488,252,108,144,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,99,44,55,841,486,355,243,109,134,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,204,103,101,1008,537,471,149,73,76,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,56,25,31,418,247,171,105,53,52,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,24,13,11,257,158,99,108,54,54,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,159,76,83,900,491,409,271,140,131,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,55,28,27,412,244,168,93,39,54,105Y12M
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,276,143,133,1861,1007,854,468,214,254,105Y12M
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,67,36,31,274,159,115,28,8,20,105Y12M
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,134,59,75,542,311,231,56,24,32,105Y12M
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,84,46,38,384,213,171,44,21,23,105Y12M
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,209,98,111,922,503,419,81,34,47,105Y12M
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,109,58,51,518,288,230,71,32,39,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,103,54,49,1285,873,412,375,168,207,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,32,12,20,225,129,96,66,38,28,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,95,44,51,772,445,327,238,111,127,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,132,72,60,1002,570,432,268,108,160,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,239,127,112,1725,965,760,480,213,267,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,35,21,14,402,232,170,152,63,89,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,101,46,55,682,385,297,277,123,154,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,107,54,53,541,275,266,68,29,39,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,110,57,53,468,241,227,42,18,24,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,254,128,126,1118,579,539,123,58,65,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,64,43,21,301,160,141,46,22,24,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,51,26,25,276,146,130,43,19,24,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,110,53,57,910,582,328,357,158,199,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,72,33,39,712,428,284,222,92,130,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,76,38,38,430,274,156,130,66,64,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,211,117,94,1604,925,679,476,215,261,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,95,61,34,976,592,384,312,156,156,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,43,21,22,471,292,179,192,82,110,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,108,59,49,497,280,217,41,20,21,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,73,38,35,242,126,116,22,7,15,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,117,67,50,547,308,239,50,24,26,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,215,113,102,911,502,409,94,37,57,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,209,106,103,733,390,343,74,27,47,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,67,34,33,245,128,117,38,18,20,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,157,78,79,1254,714,540,268,123,145,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,131,72,59,868,467,401,252,116,136,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,69,31,38,561,321,240,132,54,78,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,89,42,47,714,404,310,208,104,104,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,117,64,53,734,370,364,190,88,102,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,59,34,25,722,421,301,221,94,127,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,141,71,70,862,478,384,269,134,135,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,106,53,53,768,446,322,81,37,44,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,73,32,41,531,296,235,89,40,49,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,74,40,34,570,327,243,74,32,42,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,27,12,15,295,151,144,26,13,13,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,50,23,27,324,181,143,62,29,33,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,44,26,18,275,158,117,55,25,30,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,112,51,61,946,521,425,122,59,63,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,110,60,50,779,422,357,103,49,54,105Y12M
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,147,83,64,1231,625,606,174,79,95,105Y12M
10014,臺東縣,10014010,臺東市,10014010-021,大同里,106,47,59,646,317,329,163,77,86,105Y12M
