COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,-10,-25,-35,48,60,13,26,104Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,-6,-22,-28,67,86,31,34,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,4,17,21,52,42,41,34,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,2,-12,-10,75,81,35,41,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,-1,21,20,43,20,6,8,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,11,27,38,88,62,12,11,104Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,-11,31,20,80,36,17,30,105Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,-17,-29,-46,50,82,44,41,105Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,-12,0,-12,40,47,40,33,105Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,-9,-25,-34,65,92,30,28,105Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,-6,-8,-14,20,29,10,9,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,-5,4,-1,29,24,9,10,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,0,-6,-6,79,102,77,60,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,-8,-7,-15,22,36,17,10,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,-9,13,4,71,52,25,31,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,-9,3,-6,69,67,52,51,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,-13,24,11,56,33,23,22,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,-11,20,9,41,23,60,58,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,-12,-37,-49,55,75,49,66,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,-6,-11,-17,20,27,12,16,105Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,-19,-14,-33,46,63,47,44,105Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,-30,-4,-34,100,110,79,73,105Y
