LCODE_C1,LCODE_C2,LCODE_C3,LCODEC_C1,LCODEC_C2,LCODEC_C3,METHOD,DATATIME,MDDI_ORG,Shape_Leng,Shape_Area,分類,area_ha
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,141.461150548000006,1026.863630690000036,02森林利用土地,0.102686363069000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,1093.400250249999999,15482.759834300000875,02森林利用土地,1.548275983430000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,654.858214323999960,12024.863705199999458,02森林利用土地,1.202486370520000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,239.101635799000007,2533.368275090000225,02森林利用土地,0.253336827509000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,194.739238236999995,1153.025796769999943,02森林利用土地,0.115302579677000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2188.624498440000025,85523.845327799994266,02森林利用土地,8.552384532780000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,1057.312345150000056,33999.515365999999631,02森林利用土地,3.399951536600000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2014.812243809999927,26019.702723700000206,02森林利用土地,2.601970272370000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,657.021945298999981,3811.659680539999954,02森林利用土地,0.381165968054000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,632.705193347999966,14178.285029200000281,02森林利用土地,1.417828502920000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,3800.709216230000038,124822.245750000001863,02森林利用土地,12.482224575000000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,47812.473530900002515,6076983.374909999780357,02森林利用土地,607.698337490999961
