LCODE_C1,LCODE_C2,LCODE_C3,METHOD,DATATIME,MDDI_ORG,LCODEC_C1,LCODEC_C2,LCODEC_C3,Shape_Leng,Shape_Area,分類,area_ha
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,50.630061763699999,146.051339097000010,01農業利用土地,0.014605133909700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,718.192639168000028,12236.222182999999859,01農業利用土地,1.223622218300000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,764.093594789999997,7121.807103529999949,01農業利用土地,0.712180710353000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,55.367752867900002,189.317463908999997,01農業利用土地,0.018931746390900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,564.887502823999966,6350.133127799999784,01農業利用土地,0.635013312780000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,53.816949164299999,145.442956755000012,01農業利用土地,0.014544295675500
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,27.585116516399999,38.937646533299997,01農業利用土地,0.003893764653330
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,36.813871097400003,63.135364363999997,01農業利用土地,0.006313536436400
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,81.255369975099995,420.576054621000026,01農業利用土地,0.042057605462100
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,3313.047446949999994,73166.340387999996892,01農業利用土地,7.316634038800000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,30.880326851200000,53.996388512300001,01農業利用土地,0.005399638851230
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,25.014634777200001,26.291355464599999,01農業利用土地,0.002629135546460
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,228.982803584999999,1515.562204060000113,01農業利用土地,0.151556220406000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,85.961449477100004,464.919308537000006,01農業利用土地,0.046491930853700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,33.725602233099998,62.427724136999998,01農業利用土地,0.006242772413700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,232.224917785000002,1373.008859770000072,01農業利用土地,0.137300885977000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,98.619983781299993,475.659440116999974,01農業利用土地,0.047565944011700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,76.047146766799997,331.577280571000017,01農業利用土地,0.033157728057100
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,96.158410822500002,545.248588469999959,01農業利用土地,0.054524858847000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,33.319144031999997,47.345068502499998,01農業利用土地,0.004734506850250
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,70.320000268699999,201.378906155999999,01農業利用土地,0.020137890615600
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,48.388983254800003,77.118478685100001,01農業利用土地,0.007711847868510
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,151.061836094000000,1115.769707030000063,01農業利用土地,0.111576970703000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,400.513819443999978,6859.785234650000348,01農業利用土地,0.685978523465000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,145.177160315999998,794.856163097000035,01農業利用土地,0.079485616309700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,52.974653043200000,182.582442152999988,01農業利用土地,0.018258244215300
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,125.490551143999994,892.992176588000007,01農業利用土地,0.089299217658800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,105.577741106999994,380.762677514000018,01農業利用土地,0.038076267751400
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,75.923561771899998,374.861941694999985,01農業利用土地,0.037486194169500
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,71.340311984200000,172.101697994999995,01農業利用土地,0.017210169799500
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,362.715283485999976,3490.513063219999822,01農業利用土地,0.349051306322000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,113.409465668999999,566.073980614999982,01農業利用土地,0.056607398061500
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,34.895137847000001,65.139118667899993,01農業利用土地,0.006513911866790
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,135.677779057999999,764.447827598999993,01農業利用土地,0.076444782759900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,109.714271042999997,582.953632029000005,01農業利用土地,0.058295363202900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,64.488706017699997,254.113088366999989,01農業利用土地,0.025411308836700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,181.330720097000011,2038.021400180000001,01農業利用土地,0.203802140018000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,210.667673162999989,1388.392026389999955,01農業利用土地,0.138839202639000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,117.168933952000003,499.195186965999994,01農業利用土地,0.049919518696600
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,113.239101899000005,397.909808014000021,01農業利用土地,0.039790980801400
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,98.042576013000001,342.312281208999991,01農業利用土地,0.034231228120900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,65.513413059100003,238.353873485000008,01農業利用土地,0.023835387348500
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,67.735863120700003,311.346852501999990,01農業利用土地,0.031134685250200
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,1622.838485850000097,56940.121245900001668,01農業利用土地,5.694012124590000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,64.087117851700000,252.385477352000009,01農業利用土地,0.025238547735200
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,74.035278439400003,356.660373083000025,01農業利用土地,0.035666037308300
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,88.085304229299993,460.336238501000025,01農業利用土地,0.046033623850100
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,223.418190169000013,785.097167391999960,01農業利用土地,0.078509716739200
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,71.059208290900003,332.145651358000009,01農業利用土地,0.033214565135800
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,187.589040992999998,986.799834560000022,01農業利用土地,0.098679983456000
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,96.242132701499997,366.167162385999973,01農業利用土地,0.036616716238600
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,114.311470616999998,635.396657481000034,01農業利用土地,0.063539665748100
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,47.926354394000001,154.286912121999990,01農業利用土地,0.015428691212200
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,437.618120737000027,3357.031468390000100,01農業利用土地,0.335703146839000
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,85.973958082400003,311.249831029999996,01農業利用土地,0.031124983103000
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,151.709144632999994,717.499439153000026,01農業利用土地,0.071749943915300
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,64.549799718800003,206.626514398000012,01農業利用土地,0.020662651439800
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,95.972730913600003,541.827143161999970,01農業利用土地,0.054182714316200
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,140.787942767000004,617.370302538000033,01農業利用土地,0.061737030253800
01,0101,010103,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,86.371842467999997,383.943286860000001,01農業利用土地,0.038394328686000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,82.367256472700006,401.879274399999986,01農業利用土地,0.040187927440000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,85.813454241499997,409.272692840999980,01農業利用土地,0.040927269284100
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,96.353156811399998,450.467881756999986,01農業利用土地,0.045046788175700
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,91.958053525799997,523.550986658000056,01農業利用土地,0.052355098665800
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,118.226164979999993,908.948172455999952,01農業利用土地,0.090894817245600
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,255.287424783000006,2989.194365899999866,01農業利用土地,0.298919436590000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,60.781424590599997,245.688404596999987,01農業利用土地,0.024568840459700
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,226.003557319000009,1772.433088029999908,01農業利用土地,0.177243308803000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,104.452364213999999,364.700222993000011,01農業利用土地,0.036470022299300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,66.505780579200007,243.637198947000002,01農業利用土地,0.024363719894700
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,94.193240370900000,562.099802725000018,01農業利用土地,0.056209980272500
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,127.768098577000004,650.575256166000031,01農業利用土地,0.065057525616600
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,180.592945761000010,1633.581605860000082,01農業利用土地,0.163358160586000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,62.515597002200003,217.206545336000005,01農業利用土地,0.021720654533600
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,200.291330706999986,884.191313810999986,01農業利用土地,0.088419131381100
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,132.053715879999999,491.510420593999982,01農業利用土地,0.049151042059400
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,50.089711658100001,130.776515305999993,01農業利用土地,0.013077651530600
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,88.314000364400002,284.951062115000013,01農業利用土地,0.028495106211500
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,65.890594507100005,204.472598866999988,01農業利用土地,0.020447259886700
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,196.616277864000011,1294.280537630000026,01農業利用土地,0.129428053763000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,63.154519263099999,178.085170632999990,01農業利用土地,0.017808517063300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,111.999947741000000,530.201248408999959,01農業利用土地,0.053020124840900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,79.091564177899997,343.115340865000007,01農業利用土地,0.034311534086500
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,448.271875082999998,3881.936533300000065,01農業利用土地,0.388193653330000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,100.043595378000006,425.704085399000007,01農業利用土地,0.042570408539900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,121.286225340000001,608.190920243000051,01農業利用土地,0.060819092024300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,142.501237212000007,826.488572359000045,01農業利用土地,0.082648857235900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,91.691746874800003,390.654507779000028,01農業利用土地,0.039065450777900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,262.403356410000015,2463.036286179999934,01農業利用土地,0.246303628618000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,40.269226404800001,101.219863622999995,01農業利用土地,0.010121986362300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,47.427930358499999,129.289094005999999,01農業利用土地,0.012928909400600
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,426.496495599000013,6901.766867899999852,01農業利用土地,0.690176686790000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,35.052609434499999,55.411446704399999,01農業利用土地,0.005541144670440
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,128.695947877000009,706.456463352000014,01農業利用土地,0.070645646335200
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,141.060886611999990,1059.925958380000111,01農業利用土地,0.105992595838000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,30.338015077100000,41.344489297899997,01農業利用土地,0.004134448929790
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,91.549680963300005,338.096834952999984,01農業利用土地,0.033809683495300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,24.701275424199999,37.560896716700000,01農業利用土地,0.003756089671670
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,39.146628846699997,92.970425613200007,01農業利用土地,0.009297042561320
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,76.848432468900000,242.843296521000013,01農業利用土地,0.024284329652100
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,53.516717936600003,171.214135873000004,01農業利用土地,0.017121413587300
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,176.079440881000011,1088.861308069999950,01農業利用土地,0.108886130807000
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,45.047432319000002,119.892251899000001,01農業利用土地,0.011989225189900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,44.095147714800000,81.989825404000001,01農業利用土地,0.008198982540400
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,97.217693724000000,428.211898179000002,01農業利用土地,0.042821189817900
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,84.263595998800000,432.568882415000019,01農業利用土地,0.043256888241500
01,0101,010103,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,果園,64.546361082499999,163.584574991000011,01農業利用土地,0.016358457499100
01,0102,010200,1,202211,亞新國土科技股份有限公司,農業利用土地,水產養殖,水產養殖,168.441524836000013,1476.595212409999931,01農業利用土地,0.147659521241000
01,0102,010200,1,202211,亞新國土科技股份有限公司,農業利用土地,水產養殖,水產養殖,31.321447774500001,54.286565678700001,01農業利用土地,0.005428656567870
01,0103,010301,1,202211,亞新國土科技股份有限公司,農業利用土地,畜牧,畜禽舍,24.682643752200001,29.901238373300000,01農業利用土地,0.002990123837330
01,0103,010301,1,202211,亞新國土科技股份有限公司,農業利用土地,畜牧,畜禽舍,34.805555964000000,61.087609018700000,01農業利用土地,0.006108760901870
01,0103,010301,1,202211,亞新國土科技股份有限公司,農業利用土地,畜牧,畜禽舍,40.151044433300001,66.629598395800002,01農業利用土地,0.006662959839580
01,0103,010301,1,202211,亞新國土科技股份有限公司,農業利用土地,畜牧,畜禽舍,49.530868163000001,118.617025522000006,01農業利用土地,0.011861702552200
